način,ID,Kanal 1 Povprečje delovanja,Kanal 1 Odklon od povprečja delovanja,Column1,Kanal 1 Vrh
popek,6493,2.92161073825503,1.39262735912797,0.476664238973783,22.0
pas,6493,1.65657534246575,1.10565396884969,0.667433554337446,14.5
nosnos,7512,8.54393333333334,2.51677688888889,0.294568881883702,181.0
ustpripora,7512,3.53738255033557,1.41689923877303,0.400550186079992,13.7
ššš,7512,3.89486666666667,1.53015377777778,0.392864225847127,20.2
sss,7512,4.00136054421769,1.36169651534083,0.340308377686335,15.8
popek,7512,10.7661643835616,2.47267780071308,0.229671191393705,343.0
pas,7512,10.3306849315068,4.22022142991181,0.408513226169626,113.1
nosnos,1252,7.08770833333334,2.49998842592593,0.352721684972354,180.0
ustpripora,1252,5.12364864864865,2.80637874360848,0.547730520973301,77.0
ššš,1252,9.23288590604026,3.69793883158416,0.40051819866689,125.0
sss,1252,4.20966216216216,1.73777757487217,0.412806897069292,16.7
popek,1252,4.74541095890411,1.93985550759993,0.408785566603047,135.0
pas,1252,5.33809523809524,2.92534499514091,0.548012889366273,467.0
nosnos,3871,4.27486301369863,2.08041940326515,0.486663408066769,17.1
ustpripora,3871,4.86673611111111,1.9212856867284,0.394779096886301,22.0
ššš,3871,4.14493055555556,1.56282600308642,0.377045159656951,22.0
sss,3871,3.55993055555556,1.65712577160494,0.465493847631062,17.7
popek,3871,3.57986301369863,1.94090823794333,0.542173885010764,15.5
pas,3871,4.37570469798658,1.83899193730012,0.420273319208746,105.0
nosnos,2038,2.0194,1.00085333333333,0.49561916080684,8.9
ustpripora,2038,2.60930555555556,1.13834104938272,0.436262072473282,15.2
ššš,2038,2.00472972972973,0.907699050401753,0.452778764608896,19.7
sss,2038,2.23406666666667,1.26729777777778,0.567260501526862,41.0
popek,2038,2.75601351351352,1.1956665449233,0.433839144496429,56.0
pas,2038,2.38321917808219,0.994370425971102,0.417238345140914,16.3
nosnos,9436,2.65886666666667,1.49704977777778,0.56304056030556,11.3
